Country,Year,FertilityRate,GDPperCapita ,LifeExpectancy ,MortalityRate,PopulationGrowth,CivilLiberties 
Algeria,1968,7.7,281.9,49.6,244.2,2.9,6
Algeria,1969,7.7,302.8,50,242,2.9,6
Algeria,1970,7.6,336.2,50.4,238.5,2.8,6
Algeria,1971,7.6,341.4,50.8,233.6,2.8,6
Algeria,1972,7.6,442.7,51.2,227.5,2.7,6
Algeria,1973,7.6,554.3,51.7,220.2,2.7,6
Algeria,1974,7.5,818,52.2,212.1,2.8,6
Algeria,1975,7.4,936.8,52.9,203.1,2.8,6
Algeria,1976,7.3,1037.6,53.7,193.8,2.8,6
Algeria,1977,7.2,1192.7,54.6,184,2.9,6
Algeria,1978,7.1,1456.4,55.7,173.8,2.9,6
Algeria,1979,7,1782.7,56.9,162.8,3,6
Algeria,1980,6.8,2203.1,58.2,150,3,6
Algeria,1981,6.6,2237.1,59.5,135.3,3.1,6
Algeria,1982,6.4,2210.3,60.8,119.2,3.1,6
Algeria,1983,6.2,2312.7,62,102.8,3.1,6
Algeria,1984,6,2467.3,63.1,87.3,3.1,6
Algeria,1985,5.8,2582.9,64.1,74.5,3,6
Algeria,1986,5.6,2757,64.9,65,2.9,6
Algeria,1987,5.4,2807.5,65.5,58.4,2.9,6
Algeria,1988,5.2,2417.4,66.1,53.9,2.8,6
Algeria,1989,5,2216,66.6,51,2.7,4
Algeria,1990,4.7,2408.8,66.9,49.1,2.6,4
Algeria,1991,4.5,1731.6,67.3,47.7,2.5,4
Algeria,1992,4.2,1776,67.6,46.6,2.4,6
Algeria,1993,4,1807.3,67.9,45.5,2.2,6
Algeria,1994,3.7,1507.9,68.2,44.4,2.1,7
Algeria,1995,3.4,1452.3,68.5,43.3,1.9,6
Algeria,1996,3.2,1603.9,68.9,42.3,1.8,6
Algeria,1997,3,1619.8,69.3,41.4,1.6,6
Algeria,1998,2.8,1596,69.7,40.7,1.5,5
Algeria,1999,2.6,1588.3,70.2,40.2,1.4,5
Algeria,2000,2.5,1765,70.6,39.7,1.4,5
Algeria,2001,2.4,1740.6,71.1,38.9,1.3,5
Algeria,2002,2.4,1781.8,71.6,37.8,1.3,5
Algeria,2003,2.4,2103.4,72.1,36.5,1.3,5
Australia,1968,2.9,2724.4,70.9,21.9,1.8,1
Australia,1969,2.9,2991.6,71,21.7,2.1,1
Australia,1970,2.9,3305.1,71,21.5,2,1
Australia,1971,3,3495.6,71.1,21,3.4,1
Australia,1972,2.7,3950.2,71.5,20.3,1.8,1
Australia,1973,2.5,4771.7,71.8,19.4,1.5,1
Australia,1974,2.4,6484.1,72.2,18.4,2.5,1
Australia,1975,2.1,7005.9,72.6,17.3,1.2,1
Australia,1976,2.1,7489.6,73,16.2,1,1
Australia,1977,2,7778.2,73.3,15.2,1.1,1
Australia,1978,1.9,8255.7,73.7,14.4,1.2,1
Australia,1979,1.9,9297.3,74,13.6,1.1,1
Australia,1980,1.9,10211.8,74.3,13,1.2,1
Australia,1981,1.9,11854.6,74.7,12.5,1.6,1
Australia,1982,1.9,12788.5,74.9,12.2,1.7,1
Australia,1983,1.9,11538.4,75.1,11.9,1.3,1
Australia,1984,1.8,12454.6,75.4,11.6,1.1,1
Australia,1985,1.9,11459.2,75.6,11.3,1.4,1
Australia,1986,1.9,11384.9,75.9,11,1.6,1
Australia,1987,1.8,11645.5,76.2,10.6,1.5,1
Australia,1988,1.8,14279.2,76.4,10.2,1.6,1
Australia,1989,1.8,17828,76.7,9.7,1.7,1
Australia,1990,1.9,18243.5,77,9.2,1.5,1
Australia,1991,1.8,18855.8,77.3,8.7,1.3,1
Australia,1992,1.9,18604.2,77.4,8.2,1.2,1
Australia,1993,1.9,17667.2,77.9,7.7,1,1
Australia,1994,1.8,18079.4,77.9,7.3,1.1,1
Australia,1995,1.8,20358.3,77.8,7,1.2,1
Australia,1996,1.8,21904.3,78.1,6.8,1.3,1
Australia,1997,1.8,23509.4,78.5,6.6,1.1,1
Australia,1998,1.8,21346,78.6,6.4,1,1
Australia,1999,1.8,20559,78.9,6.3,1.1,1
Australia,2000,1.8,21697.7,79.2,6.2,1.2,1
Australia,2001,1.7,19527.3,79.6,6.1,1.3,1
Australia,2002,1.8,20117.8,79.9,6,1.2,1
Australia,2003,1.7,23492.4,80.2,5.9,1.2,1
Bahrain,1968,6.9,8537.7,61.6,93.5,2.3,6
Bahrain,1969,6.7,8537.7,62.6,84.5,2.6,6
Bahrain,1970,6.5,8537.7,63.4,76.3,3.1,6
Bahrain,1971,6.3,8537.7,64.3,68.9,3.6,6
Bahrain,1972,6.1,8537.7,65,62.3,3.9,6
Bahrain,1973,5.9,8537.7,65.8,56.5,4.4,5
Bahrain,1974,5.7,8537.7,66.4,51.5,5,5
Bahrain,1975,5.6,8537.7,67,47,5.6,4
Bahrain,1976,5.4,8537.7,67.6,43.2,6.3,4
Bahrain,1977,5.3,8537.7,68.2,39.9,6.6,4
Bahrain,1978,5.2,8537.7,68.7,37,6.5,4
Bahrain,1979,5,8537.7,69.1,34.4,5.8,4
Bahrain,1980,4.9,8537.7,69.6,32.2,4.9,4
Bahrain,1981,4.8,9269.3,70,30.3,3.9,5
Bahrain,1982,4.7,9446.1,70.3,28.7,3.1,5
Bahrain,1983,4.6,9421.4,70.7,27.3,2.7,5
Bahrain,1984,4.5,9590.5,71,26.1,2.7,5
Bahrain,1985,4.4,8706.8,71.2,25,3,5
Bahrain,1986,4.2,7041.6,71.5,24.2,3.3,5
Bahrain,1987,4.1,7554.9,71.7,23.7,3.5,5
Bahrain,1988,4,7958.7,72,23.4,3.5,5
Bahrain,1989,3.9,8031,72.2,23.2,3.4,5
Bahrain,1990,3.7,8529.1,72.4,23,3,5
Bahrain,1991,3.6,9055.6,72.6,22.7,2.8,5
Bahrain,1992,3.5,9082.8,72.8,22.1,2.6,5
Bahrain,1993,3.4,9698.2,73,21.1,2.5,6
Bahrain,1994,3.2,10130.4,73.2,19.7,2.5,6
Bahrain,1995,3.1,10377,73.4,18.1,2.5,6
Bahrain,1996,3.1,10544.8,73.6,16.6,2.6,6
Bahrain,1997,3,10672.2,73.8,15.2,2.8,6
Bahrain,1998,2.9,10076.3,74,14,3.1,6
Bahrain,1999,2.9,10401.6,74.2,13.1,3.7,6
Bahrain,2000,2.8,13636.4,74.4,12.5,4.3,6
Bahrain,2001,2.7,12868.2,74.6,12,4.8,5
Bahrain,2002,2.7,13049.9,74.8,11.6,5.2,5
Bahrain,2003,2.6,14222,75,11.3,5.8,5
Bangladesh,1968,6.9,122.8,47.9,229.7,3.1,2
Bangladesh,1969,6.9,135.1,47.4,228.7,2.9,2
Bangladesh,1970,6.9,140,46.9,273.8,2.4,2
Bangladesh,1971,6.9,133.6,46.6,371.3,2,2
Bangladesh,1972,6.9,94.4,46.5,227.7,1.7,2
Bangladesh,1973,6.9,119.6,46.8,227.1,1.5,4
Bangladesh,1974,6.9,182,47.4,225.9,1.6,4
Bangladesh,1975,6.8,277.6,48.3,224.2,1.9,4
Bangladesh,1976,6.8,141.2,49.4,221.8,2.2,5
Bangladesh,1977,6.7,131.4,50.5,218.6,2.5,4
Bangladesh,1978,6.6,176,51.5,214.9,2.7,4
Bangladesh,1979,6.5,200.8,52.3,210.5,2.7,4
Bangladesh,1980,6.4,227.8,52.9,205.7,2.7,3
Bangladesh,1981,6.2,247.6,53.4,200.7,2.6,4
Bangladesh,1982,6.1,220.7,53.8,195.3,2.6,5
Bangladesh,1983,5.9,204.4,54.2,189.7,2.6,5
Bangladesh,1984,5.7,214,54.7,183.9,2.6,5
Bangladesh,1985,5.5,245.5,55.2,177.8,2.6,5
Bangladesh,1986,5.3,233.7,55.8,171.5,2.6,5
Bangladesh,1987,5.1,254,56.4,165.1,2.6,5
Bangladesh,1988,4.9,270.7,57,158.7,2.6,5
Bangladesh,1989,4.7,285.8,57.6,152.4,2.5,4
Bangladesh,1990,4.5,306.3,58.2,146.1,2.4,5
Bangladesh,1991,4.3,293.2,58.9,139.8,2.3,3
Bangladesh,1992,4.1,293.6,59.6,133.5,2.2,3
Bangladesh,1993,4,300.6,60.4,127.2,2.2,4
