Country,Year,FertilityRate,GDPperCapita,LifeExpectancy,MortalityRate,PopulationGrowth,CivilLiberties ,OilProduction
Saudi Arabia,1968,7.3,777.3,50.8,159.7,3.6,6,7596.1
Saudi Arabia,1969,7.3,801,51.7,159.7,3.9,6,7596.1
Saudi Arabia,1970,7.3,921.3,52.7,159.7,4.1,6,7596.1
Saudi Arabia,1971,7.3,1177.7,53.8,159.7,4.4,6,7596.1
Saudi Arabia,1972,7.3,1511.7,54.9,159.7,4.7,6,7596.1
Saudi Arabia,1973,7.3,2227,56,149.5,4.9,6,7596.1
Saudi Arabia,1974,7.3,6437.4,57.1,139.8,5,6,8479.9
Saudi Arabia,1975,7.3,6304.1,58.1,131,5,6,7075.1
Saudi Arabia,1976,7.3,8202.8,59.2,122.3,5,6,8577
Saudi Arabia,1977,7.3,9038.9,60.2,114.4,5.1,6,9245
Saudi Arabia,1978,7.3,9282.7,61.1,106.8,5.2,6,8300.7
Saudi Arabia,1979,7.3,12241.3,62,99.7,5.5,6,9532
Saudi Arabia,1980,7.2,16978,62.9,93.1,5.9,6,9900.2
Saudi Arabia,1981,7.1,17872,63.7,86.8,6.2,6,9814.9
Saudi Arabia,1982,7,13945,64.4,80.9,6.4,6,6483
Saudi Arabia,1983,6.9,11039.2,65.1,75.3,6.3,7,5085.9
Saudi Arabia,1984,6.8,9632.5,65.8,70,6,7,4663.2
Saudi Arabia,1985,6.6,7919.7,66.4,65,5.5,7,3387.8
Saudi Arabia,1986,6.5,6304.3,67,60.4,5,7,4870
Saudi Arabia,1987,6.3,5932.3,67.6,56,4.6,7,4265
Saudi Arabia,1988,6.2,5856.4,68.1,51.8,4.2,7,5086
Saudi Arabia,1989,6.1,6086,68.6,47.9,3.9,6,5064.2
Saudi Arabia,1990,5.9,7246,69.1,44.3,3.6,6,6410
Saudi Arabia,1991,5.8,7883.2,69.5,41,3.3,6,8115
Saudi Arabia,1992,5.6,7932.1,69.9,37.9,3,7,8332.2
Saudi Arabia,1993,5.4,7485.5,70.3,35.2,2.7,7,8893.5
Saudi Arabia,1994,5.2,7421.3,70.7,32.8,2.5,7,9101.2
Saudi Arabia,1995,5,7690.6,71.1,30.5,2.3,7,9235.2
Saudi Arabia,1996,4.8,8335.8,71.4,28.4,2.1,7,9237.7
Saudi Arabia,1997,4.5,8551.7,71.8,26.6,1.9,7,9400.3
Saudi Arabia,1998,4.3,7419.2,72.1,24.9,1.9,7,9471.6
Saudi Arabia,1999,4.1,8008,72.3,23.4,2.1,7,8907
Saudi Arabia,2000,4,9171.3,72.6,22,2.3,7,9475.7
Saudi Arabia,2001,3.8,8684.6,72.8,20.7,2.6,7,9156.6
Saudi Arabia,2002,3.7,8695.4,72.9,19.6,2.8,7,8809.5
Saudi Arabia,2003,3.6,9610,73.1,18.5,2.9,7,10076.8
Iraq,1968,7.4,312.8,56.7,124.8,3.4,7,69.7
Iraq,1969,7.4,313.8,57.5,119,3.4,7,69.7
Iraq,1970,7.4,330.9,58.2,113.6,3.4,7,69.7
Iraq,1971,7.3,376.9,58.9,108.4,3.3,7,69.7
Iraq,1972,7.2,388.1,59.5,103.5,3.3,7,69.7
Iraq,1973,7.2,468.9,60.1,98.9,3.3,7,69.7
Iraq,1974,7.1,1018.1,60.6,94.4,3.2,7,66.4
Iraq,1975,7,1151.8,61.1,90.2,3.2,7,61.4
Iraq,1976,6.9,1471.1,61.3,86.2,3.2,7,60.3
Iraq,1977,6.8,1591.9,61.2,82.5,3.2,7,56
Iraq,1978,6.7,1847.7,60.9,79,3.1,7,51.3
Iraq,1979,6.7,2852.1,60.4,75.9,3.1,6,49.1
Iraq,1980,6.6,3850.3,59.9,72.9,2.9,7,48.2
Iraq,1981,6.5,2693.2,59.4,70.2,2.8,7,46.1
Iraq,1982,6.4,2936.6,59.3,67.7,2.7,7,43.9
Iraq,1983,6.3,2748,59.5,65.4,2.6,7,42
Iraq,1984,6.3,3090,60,63.3,2.5,7,41.1
Iraq,1985,6.2,3113,60.9,61.4,2.4,7,42.4
Iraq,1986,6.2,2970.8,62,59.6,2.2,7,43.9
Iraq,1987,6.1,3492.3,63.1,58,2.2,7,42.4
Iraq,1988,6,3773.4,64.2,56.6,2.2,7,43.6
Iraq,1989,6,3873.6,65.2,55.2,2.3,6,42.4
Iraq,1990,5.9,10356.9,66,54.1,2.5,7,42
Iraq,1991,5.8,22.8,66.7,53,2.7,7,38
Iraq,1992,5.7,30.1,67.2,51.9,2.8,7,36.7
Iraq,1993,5.6,54.4,67.7,51,3,7,54.8
Iraq,1994,5.5,204.3,68.1,50.1,3,7,55.2
Iraq,1995,5.4,639.9,68.4,49.1,3.1,7,53
Iraq,1996,5.3,502,68.7,48.2,3.1,7,46.4
Iraq,1997,5.2,968.5,68.9,47.3,3.1,7,53.1
Iraq,1998,5.1,932.3,69.1,46.3,3.1,7,49.6
Iraq,1999,5,1617.5,69.1,45.4,3.1,7,49.2
Iraq,2000,4.9,2058.3,69.1,44.5,3,7,49.8
Iraq,2001,4.8,1494.4,69,43.5,3,7,49.3
Iraq,2002,4.8,1320.7,68.8,42.6,2.9,7,49.4
Iraq,2003,4.7,854.8,68.6,41.8,2.8,5,49.6
United Arab Emirates,1968,6.8,26848.1,59.4,116.8,7.3,7,1532.7
