Country,Year,GDPperCapita
Synthetic Iraq,1968,528.7
Synthetic Iraq,1969,594.9
Synthetic Iraq,1970,611.1
Synthetic Iraq,1971,646.7
Synthetic Iraq,1972,781.9
Synthetic Iraq,1973,986.0
Synthetic Iraq,1974,1217.2
Synthetic Iraq,1975,1404.2
Synthetic Iraq,1976,1581.2
Synthetic Iraq,1977,1807.0
Synthetic Iraq,1978,2191.0
Synthetic Iraq,1979,2620.7
Synthetic Iraq,1980,2933.3
Synthetic Iraq,1981,2858.4
Synthetic Iraq,1982,2842.2
Synthetic Iraq,1983,2903.1
Synthetic Iraq,1984,2928.9
Synthetic Iraq,1985,3015.8
Synthetic Iraq,1986,3682.6
Synthetic Iraq,1987,4065.0
Synthetic Iraq,1988,3874.8
Synthetic Iraq,1989,3430.2
Synthetic Iraq,1990,3905.8
Synthetic Iraq,1991,3581.0
Synthetic Iraq,1992,3892.1
Synthetic Iraq,1993,3743.4
Synthetic Iraq,1994,3830.7
Synthetic Iraq,1995,4270.0
Synthetic Iraq,1996,4367.9
Synthetic Iraq,1997,4155.6
Synthetic Iraq,1998,4233.3
Synthetic Iraq,1999,4244.0
Synthetic Iraq,2000,4120.7
Synthetic Iraq,2001,4139.0
Synthetic Iraq,2002,4399.5
Synthetic Iraq,2003,5187.7
Saudi Arabia,1968,777.3
Saudi Arabia,1969,801
Saudi Arabia,1970,921.3
Saudi Arabia,1971,1177.7
Saudi Arabia,1972,1511.7
Saudi Arabia,1973,2227
Saudi Arabia,1974,6437.4
Saudi Arabia,1975,6304.1
Saudi Arabia,1976,8202.8
Saudi Arabia,1977,9038.9
Saudi Arabia,1978,9282.7
Saudi Arabia,1979,12241.3
Saudi Arabia,1980,16978
Saudi Arabia,1981,17872
Saudi Arabia,1982,13945
Saudi Arabia,1983,11039.2
Saudi Arabia,1984,9632.5
Saudi Arabia,1985,7919.7
Saudi Arabia,1986,6304.3
Saudi Arabia,1987,5932.3
Saudi Arabia,1988,5856.4
Saudi Arabia,1989,6086
Saudi Arabia,1990,7246
Saudi Arabia,1991,7883.2
Saudi Arabia,1992,7932.1
Saudi Arabia,1993,7485.5
Saudi Arabia,1994,7421.3
Saudi Arabia,1995,7690.6
Saudi Arabia,1996,8335.8
Saudi Arabia,1997,8551.7
Saudi Arabia,1998,7419.2
Saudi Arabia,1999,8008
Saudi Arabia,2000,9171.3
Saudi Arabia,2001,8684.6
Saudi Arabia,2002,8695.4
Saudi Arabia,2003,9610
United Arab Emirates,1968,26848.1
United Arab Emirates,1969,26848.1
United Arab Emirates,1970,26848.1
United Arab Emirates,1971,26848.1
United Arab Emirates,1972,26848.1
United Arab Emirates,1973,26848.1
United Arab Emirates,1974,26848.1
United Arab Emirates,1975,26848.1
United Arab Emirates,1976,30117.9
United Arab Emirates,1977,33823.2
United Arab Emirates,1978,28457.1
United Arab Emirates,1979,33512.6
United Arab Emirates,1980,42764.5
United Arab Emirates,1981,44987.5
United Arab Emirates,1982,40025.8
United Arab Emirates,1983,34843.2
United Arab Emirates,1984,32309.8
United Arab Emirates,1985,29720.9
United Arab Emirates,1986,23467.9
United Arab Emirates,1987,23726.3
United Arab Emirates,1988,22295.1
United Arab Emirates,1989,24028.3
United Arab Emirates,1990,27729.4
United Arab Emirates,1991,26612.3
United Arab Emirates,1992,26420.9
United Arab Emirates,1993,25596.7
United Arab Emirates,1994,25848
United Arab Emirates,1995,27221.9
United Arab Emirates,1996,28975.1
United Arab Emirates,1997,29512.7
United Arab Emirates,1998,26899.6
United Arab Emirates,1999,28470.9
United Arab Emirates,2000,33291.4
United Arab Emirates,2001,31280.8
United Arab Emirates,2002,31567.5
United Arab Emirates,2003,33499.1
Qatar,1968,2755.6
Qatar,1969,2755.6
Qatar,1970,2755.6
Qatar,1971,3246.7
Qatar,1972,3909.9
Qatar,1973,5583.6
Qatar,1974,15631.7
Qatar,1975,15292.6
Qatar,1976,18906.2
Qatar,1977,19842
Qatar,1978,21110
Qatar,1979,27455
Qatar,1980,35010.4
Qatar,1981,34926.7
Qatar,1982,27402.3
Qatar,1983,20910.5
Qatar,1984,19645.3
Qatar,1985,16590.8
Qatar,1986,12704.4
Qatar,1987,12901.5
Qatar,1988,13611.4
Qatar,1989,14052.6
Qatar,1990,15454.2
Qatar,1991,14124.3
Qatar,1992,15434.2
Qatar,1993,14271
Qatar,1994,14544
Qatar,1995,15849.6
Qatar,1996,17337.4
Qatar,1997,21104.8
Qatar,1998,18593.4
Qatar,1999,21723.8
Qatar,2000,29976.2
Qatar,2001,28517.2
Qatar,2002,30214.7
Qatar,2003,34517.6
Oman,1968,277.9
Oman,1969,342.5
Oman,1970,354.1
Oman,1971,401.9
Oman,1972,472.5
Oman,1973,598.6
Oman,1974,1954.9
Oman,1975,2377.1
Oman,1976,2760.5
Oman,1977,2803.4
Oman,1978,2653.3
Oman,1979,3419.3
Oman,1980,5181.8
Oman,1981,5947.3
Oman,1982,5855.8
Oman,1983,5828.1
Oman,1984,6164.2
Oman,1985,6677.4
Oman,1986,4691.2
Oman,1987,4822.1
Oman,1988,4997.4
Oman,1989,5382.7
Oman,1990,6448.1
Oman,1991,5988.9
Oman,1992,6278.7
Oman,1993,6029.2
Oman,1994,6013.2
Oman,1995,6261.8
Oman,1996,6830.6
Oman,1997,7039.6
Oman,1998,6215.7
Oman,1999,6915.4
Oman,2000,8601.3
Oman,2001,8476
Oman,2002,8627
Oman,2003,9066.3
Bahrain,1968,8537.7
Bahrain,1969,8537.7
Bahrain,1970,8537.7
Bahrain,1971,8537.7
Bahrain,1972,8537.7
Bahrain,1973,8537.7
Bahrain,1974,8537.7
Bahrain,1975,8537.7
Bahrain,1976,8537.7
Bahrain,1977,8537.7
Bahrain,1978,8537.7
Bahrain,1979,8537.7
Bahrain,1980,8537.7
Bahrain,1981,9269.3
Bahrain,1982,9446.1
Bahrain,1983,9421.4
Bahrain,1984,9590.5
Bahrain,1985,8706.8
Bahrain,1986,7041.6
Bahrain,1987,7554.9
Bahrain,1988,7958.7
Bahrain,1989,8031
Bahrain,1990,8529.1
Bahrain,1991,9055.6
Bahrain,1992,9082.8
Bahrain,1993,9698.2
Bahrain,1994,10130.4
Bahrain,1995,10377
Bahrain,1996,10544.8
Bahrain,1997,10672.2
Bahrain,1998,10076.3
Bahrain,1999,10401.6
Bahrain,2000,13636.4
Bahrain,2001,12868.2
Bahrain,2002,13049.9
Bahrain,2003,14222
